season,eliminator,id,inning,batting_team,bowling_team,runs,extras,deliveries,wickets,dots,singles,doubles,threes,fours,sixers,extra_deliveries,bowled,catches,run_outs
2008,N,335982,1,Kolkata Knight Riders,Royal Challengers Bangalore,205,17,120,3,36,39,11,0,15,14,4,0,3,0
2008,N,335982,2,Royal Challengers Bangalore,Kolkata Knight Riders,63,19,91,10,50,27,3,0,3,3,10,3,6,1
2008,N,335983,1,Chennai Super Kings,Kings XI Punjab,234,6,120,5,34,40,9,0,19,16,4,3,2,0
2008,N,335983,2,Kings XI Punjab,Chennai Super Kings,196,11,120,4,23,58,6,0,18,9,4,0,4,0
2008,N,335984,1,Rajasthan Royals,Delhi Capitals,122,7,120,8,54,42,3,0,14,3,2,4,2,2
2008,N,335984,2,Delhi Capitals,Rajasthan Royals,122,10,91,1,31,38,3,0,18,1,6,1,0,0
2008,N,335985,1,Mumbai Indians,Royal Challengers Bangalore,154,11,120,7,45,42,5,0,18,5,3,1,3,1
2008,N,335985,2,Royal Challengers Bangalore,Mumbai Indians,161,5,118,5,36,57,4,0,15,6,5,0,4,0
2008,N,335986,1,Deccan Chargers,Kolkata Knight Riders,100,10,112,10,62,31,2,0,6,6,6,1,8,1
2008,N,335986,2,Kolkata Knight Riders,Deccan Chargers,84,28,114,5,61,36,2,0,5,4,8,2,3,0
2008,N,335987,1,Kings XI Punjab,Rajasthan Royals,162,4,119,8,54,32,6,1,18,7,3,4,1,1
2008,N,335987,2,Rajasthan Royals,Kings XI Punjab,156,12,109,4,47,29,8,0,16,7,10,1,2,0
2008,N,335988,1,Deccan Chargers,Delhi Capitals,137,5,120,8,56,35,9,0,12,5,2,3,4,1
2008,N,335988,2,Delhi Capitals,Deccan Chargers,131,12,77,1,26,25,5,0,15,6,6,0,1,0
2008,N,335989,1,Chennai Super Kings,Mumbai Indians,190,18,120,5,37,43,7,0,23,6,7,1,3,1
2008,N,335989,2,Mumbai Indians,Chennai Super Kings,189,13,120,7,38,47,4,1,19,8,8,2,4,1
2008,N,335990,1,Deccan Chargers,Rajasthan Royals,208,6,120,5,37,43,6,1,24,9,6,0,3,0
2008,N,335990,2,Rajasthan Royals,Deccan Chargers,210,7,119,7,34,47,3,0,18,14,3,2,4,1
2008,N,335991,1,Kings XI Punjab,Mumbai Indians,175,7,120,10,40,41,12,1,18,5,4,1,7,2
2008,N,335991,2,Mumbai Indians,Kings XI Punjab,109,7,120,9,69,33,1,0,12,4,6,3,3,1
2008,N,335992,1,Royal Challengers Bangalore,Rajasthan Royals,129,6,120,8,64,32,3,0,12,7,4,0,6,2
2008,N,335992,2,Rajasthan Royals,Royal Challengers Bangalore,135,3,103,3,44,33,1,0,22,2,2,0,3,0
2008,N,335993,1,Kolkata Knight Riders,Chennai Super Kings,139,8,120,9,49,43,8,0,14,4,6,1,6,1
2008,N,335993,2,Chennai Super Kings,Kolkata Knight Riders,134,18,102,1,34,37,9,0,12,5,5,0,1,0
2008,N,335994,1,Mumbai Indians,Deccan Chargers,143,11,120,7,49,38,6,2,14,5,5,1,6,0
2008,N,335994,2,Deccan Chargers,Mumbai Indians,146,9,73,0,21,24,2,0,13,11,4,0,0,0
2008,N,335995,1,Delhi Capitals,Kings XI Punjab,147,11,120,8,39,49,7,0,18,2,5,3,4,1
2008,N,335995,2,Kings XI Punjab,Delhi Capitals,153,9,117,6,46,37,7,2,19,3,6,1,3,1
2008,N,335996,1,Chennai Super Kings,Royal Challengers Bangalore,174,4,120,5,43,45,5,1,17,8,3,1,3,1
2008,N,335996,2,Royal Challengers Bangalore,Chennai Super Kings,158,7,118,10,35,55,7,1,14,5,6,3,5,2
2008,N,335997,1,Kolkata Knight Riders,Mumbai Indians,124,13,120,8,53,46,0,0,15,3,5,1,6,1
2008,N,335997,2,Mumbai Indians,Kolkata Knight Riders,123,15,112,3,52,35,4,0,17,2,6,2,1,0
2008,N,335998,1,Delhi Capitals,Royal Challengers Bangalore,187,4,120,5,31,51,10,0,21,5,2,2,2,1
2008,N,335998,2,Royal Challengers Bangalore,Delhi Capitals,169,12,120,5,32,54,4,0,16,7,1,1,4,0
2008,N,335999,1,Deccan Chargers,Kings XI Punjab,160,4,120,8,40,48,6,2,19,3,2,2,5,1
2008,N,335999,2,Kings XI Punjab,Deccan Chargers,161,6,113,3,32,47,9,0,21,2,4,0,1,1
2008,N,336000,1,Rajasthan Royals,Kolkata Knight Riders,182,14,120,7,37,43,9,0,22,5,7,4,1,1
2008,N,336000,2,Kolkata Knight Riders,Rajasthan Royals,139,12,115,10,36,50,9,1,8,6,7,3,4,3
2008,N,336001,1,Chennai Super Kings,Delhi Capitals,162,7,120,6,44,47,7,1,16,5,6,1,4,1
2008,N,336001,2,Delhi Capitals,Chennai Super Kings,166,6,114,2,36,41,15,0,16,4,4,1,1,0
2008,N,336002,1,Deccan Chargers,Royal Challengers Bangalore,152,13,120,10,51,41,4,0,14,7,6,2,5,2
2008,N,336002,2,Royal Challengers Bangalore,Deccan Chargers,168,3,114,5,38,44,3,0,19,7,0,0,3,2
2008,N,336003,1,Kings XI Punjab,Kolkata Knight Riders,164,14,120,6,42,41,5,0,22,4,5,1,2,1
2008,N,336003,2,Kolkata Knight Riders,Kings XI Punjab,162,7,120,6,46,38,17,0,9,9,2,3,3,0
2008,N,336004,1,Mumbai Indians,Delhi Capitals,152,10,120,8,50,43,2,0,14,8,4,3,5,0
2008,N,336004,2,Delhi Capitals,Mumbai Indians,129,4,113,10,43,44,9,0,9,5,1,1,8,1
2008,N,336005,1,Chennai Super Kings,Rajasthan Royals,102,7,114,10,61,29,8,1,12,1,2,5,4,0
2008,N,336005,2,Rajasthan Royals,Chennai Super Kings,89,21,86,2,39,27,5,0,10,2,7,0,2,0
2008,N,336006,1,Royal Challengers Bangalore,Kings XI Punjab,116,10,116,10,58,34,6,0,16,1,5,3,4,3
2008,N,336006,2,Kings XI Punjab,Royal Challengers Bangalore,110,17,110,4,51,37,2,1,12,3,7,1,3,0
2008,N,336007,1,Chennai Super Kings,Deccan Chargers,134,10,120,7,53,38,9,0,12,5,4,1,6,0
2008,N,336007,2,Deccan Chargers,Chennai Super Kings,143,5,108,3,50,33,2,1,14,7,4,0,2,0
2008,N,336008,1,Rajasthan Royals,Mumbai Indians,96,7,98,10,43,36,6,0,9,2,5,4,5,0
2008,N,336008,2,Mumbai Indians,Rajasthan Royals,92,12,91,3,44,28,5,1,7,3,8,1,2,0
2008,N,336009,1,Delhi Capitals,Chennai Super Kings,175,12,120,5,26,58,4,1,22,3,6,2,3,0
2008,N,336009,2,Chennai Super Kings,Delhi Capitals,177,11,120,6,33,48,8,1,20,5,5,0,5,1
2008,N,336010,1,Kolkata Knight Riders,Royal Challengers Bangalore,124,5,96,7,40,29,6,0,12,5,2,2,2,2
2008,N,336010,2,Royal Challengers Bangalore,Kolkata Knight Riders,118,6,96,4,36,35,5,0,15,2,3,1,1,2
2008,N,336011,1,Deccan Chargers,Rajasthan Royals,134,6,120,8,47,46,5,0,15,3,2,1,5,2
2008,N,336011,2,Rajasthan Royals,Deccan Chargers,130,11,96,2,33,35,8,1,16,2,5,0,2,0
2008,N,336012,1,Royal Challengers Bangalore,Mumbai Indians,111,11,108,9,49,40,6,1,10,2,7,2,6,1
2008,N,336012,2,Mumbai Indians,Royal Challengers Bangalore,113,13,96,1,43,33,2,0,10,6,6,0,1,0
