bowler,runs_allowed,extras_allowed,deliveries_bowled,extra_deliveries,wickets_taken,dots,singles,doubles,threes,fours,sixers,bowl_outs
A Ashish Reddy,386,14,262,8,19,79,108,23,2,26,20,9
A Chandila,242,3,234,0,11,103,91,10,1,17,10,0
A Choudhary,137,7,101,7,5,42,31,9,0,13,6,0
A Dananjaya,46,1,24,1,0,6,10,2,0,2,4,0
A Flintoff,105,1,66,0,2,20,27,4,0,7,7,0
A Kumble,1027,62,965,18,49,374,402,57,3,71,35,12
A Mishra,3788,125,3161,72,169,1125,1370,236,6,220,171,38
A Mithun,448,29,288,24,8,90,114,17,1,41,20,2
A Nehra,2422,115,1908,66,121,798,618,103,6,277,75,28
A Nel,31,0,18,0,1,7,5,1,0,3,2,0
A Nortje,502,27,366,10,23,149,112,13,4,55,22,9
A Singh,603,36,473,13,31,189,147,41,1,67,17,7
A Symonds,656,38,527,13,23,190,207,36,1,44,33,4
A Uniyal,64,3,36,2,3,8,14,4,0,6,3,1
A Zampa,361,12,287,5,21,90,138,20,1,15,20,3
AA Chavan,318,21,248,7,8,100,79,14,1,28,16,3
AA Jhunjhunwala,126,4,85,3,1,27,31,10,0,10,5,1
AA Kazi,20,1,12,1,1,2,6,2,0,1,1,0
AA Noffke,35,6,24,1,1,6,11,2,0,2,2,0
AB Agarkar,1112,62,782,38,33,254,305,46,4,113,40,5
AB Dinda,1987,116,1516,73,82,627,477,95,6,230,56,17
AB McDonald,259,4,186,2,14,50,93,10,0,20,11,6
AC Gilchrist,0,0,1,0,1,1,0,0,0,0,0,0
AC Thomas,394,22,315,12,16,126,102,26,1,41,11,1
AC Voges,74,2,54,2,1,15,28,1,0,8,2,0
AD Mascarenhas,353,12,308,2,19,124,105,29,2,34,8,4
AD Mathews,1054,41,791,16,28,224,366,61,0,98,29,7
AD Russell,1667,76,1147,39,67,398,414,72,3,169,69,10
AF Milne,166,19,108,7,5,32,38,7,0,21,5,1
AG Murtaza,304,18,264,5,12,101,112,10,0,22,14,3
AJ Finch,66,1,43,1,1,13,18,4,0,4,4,0
AJ Tye,845,47,619,26,45,187,266,44,1,77,29,5
AL Menaria,140,4,110,3,3,40,46,5,0,15,4,0
AM Nayar,311,12,229,10,9,69,103,21,0,22,13,1
AM Rahane,5,0,6,0,1,2,3,1,0,0,0,1
AM Salvi,190,15,150,6,7,57,52,12,0,18,7,1
AN Ahmed,467,48,344,18,15,120,133,19,0,43,18,4
AP Dole,105,9,66,7,5,20,23,7,0,11,4,2
AR Patel,2417,85,2019,34,87,658,939,126,6,158,96,23
AS Joseph,84,5,52,3,6,23,10,2,0,10,5,3
AS Rajpoot,772,72,530,37,24,192,171,24,2,89,30,5
AS Raut,44,1,30,0,0,6,14,4,0,4,1,0
AS Roy,8,3,12,3,1,4,8,0,0,0,0,0
