season,rank,name,short_name,played,won,lost,noresult,points,nrr
2020,1,Mumbai Indians,MI,14,9,5,0,18,1.107
2020,2,Delhi Capitals,DC,14,8,6,0,16,-0.109
2020,3,Sunrisers Hyderabad,SRH,14,7,7,0,14,0.608
2020,4,Royal Challengers Bangalore,RCB,14,7,7,0,14,-0.172
2020,5,Kolkata Knight Riders,KKR,14,7,7,0,14,-0.214
2020,6,Kings XI Punjab,KXIP,14,6,8,0,12,-0.162
2020,7,Chennai Super Kings,CSK,14,6,8,0,12,-0.455
2020,8,Rajasthan Royals,RR,14,6,8,0,12,-0.569
2019,1,Mumbai Indians,MI,14,9,5,0,18,0.421
2019,2,Chennai Super Kings,CSK,14,9,5,0,18,0.131
2019,3,Delhi Capitals,DC,14,9,5,0,18,0.044
2019,4,Sunrisers Hyderabad,SRH,14,6,8,0,12,0.577
2019,5,Kolkata Knight Riders,KKR,14,6,8,0,12,0.028
2019,6,Kings XI Punjab,KXIP,14,6,8,0,12,-0.251
2019,7,Rajasthan Royals,RR,14,5,8,1,11,-0.449
2019,8,Royal Challengers Bangalore,RCB,14,5,8,1,11,-0.607
2018,1,Sunrisers Hyderabad,SRH,14,9,5,0,18,0.284
2018,2,Chennai Super Kings,CSK,14,9,5,0,18,0.253
2018,3,Kolkata Knight Riders,KKR,14,8,6,0,16,-0.07
2018,4,Rajasthan Royals,RR,14,7,7,0,14,-0.25
2018,5,Mumbai Indians,MI,14,6,8,0,12,0.317
2018,6,Royal Challengers Bangalore,RCB,14,6,8,0,12,0.129
2018,7,Kings XI Punjab,KXIP,14,6,8,0,12,-0.502
2018,8,Delhi Capitals,DC,14,5,9,0,10,-0.222
2017,1,Mumbai Indians,MI,14,10,4,0,20,0.784
2017,2,Rising Pune Supergiant,RPS,14,9,5,0,18,0.176
2017,3,Sunrisers Hyderabad,SRH,14,8,5,1,17,0.599
2017,4,Kolkata Knight Riders,KKR,14,8,6,0,16,0.641
2017,5,Kings XI Punjab,KXIP,14,7,7,0,14,-0.009
2017,6,Delhi Capitals,DC,14,6,8,0,12,-0.512
2017,7,Gujarat Lions,GL,14,4,10,0,8,-0.412
2017,8,Royal Challengers Bangalore,RCB,14,3,10,1,7,-1.299
2016,1,Gujarat Lions,GL,14,9,5,0,18,-0.374
2016,2,Royal Challengers Bangalore,RCB,14,8,6,0,16,0.932
2016,3,Sunrisers Hyderabad,SRH,14,8,6,0,16,0.245
2016,4,Kolkata Knight Riders,KKR,14,8,6,0,16,0.106
2016,5,Mumbai Indians,MI,14,7,7,0,14,-0.146
2016,6,Delhi Capitals,DC,14,7,7,0,14,-0.155
2016,7,Rising Pune Supergiant,RPS,14,5,9,0,10,0.015
2016,8,Kings XI Punjab,KXIP,14,4,10,0,8,-0.646
2015,1,Chennai Super Kings,CSK,14,9,5,0,18,0.709
2015,2,Mumbai Indians,MI,14,8,6,0,16,-0.043
2015,3,Royal Challengers Bangalore,RCB,14,7,5,2,16,1.037
