season,team,runs_scored,deliveries_faced,wickets_lost,dots,singles,doubles,threes,fours,sixers,bowled_out,catch_out,run_outs,runs_allowed,deliveries_bowled,wickets_taken,dots_allowed,singles_allowed,doubles_allowed,threes_allowed,fours_allowed,sixers_allowed,bowl_out_taken,catch_taken,run_outs_taken
2008,Chennai Super Kings,2097,1580,73,604,544,95,7,218,74,15,48,6,2150,1589,78,548,598,99,6,209,80,20,49,7
2008,Deccan Chargers,2117,1613,93,625,573,73,4,202,91,21,58,9,2162,1586,67,554,593,86,7,221,81,13,45,7
2008,Delhi Capitals,1920,1397,67,450,546,101,4,209,52,18,38,9,1917,1479,87,553,555,70,4,184,75,23,49,13
2008,Kings XI Punjab,2232,1558,71,534,573,90,10,220,93,13,43,8,2163,1609,94,617,534,112,3,212,88,33,43,12
2008,Kolkata Knight Riders,1801,1495,88,611,513,87,1,162,76,24,50,11,1566,1280,70,522,426,65,2,175,47,21,37,9
2008,Mumbai Indians,1897,1495,80,616,482,66,6,197,74,22,43,9,1963,1561,94,607,566,82,4,202,66,16,62,11
2008,Rajasthan Royals,2086,1544,72,565,539,100,3,225,70,22,35,11,2041,1610,94,647,550,94,8,200,77,24,49,12
2008,Royal Challengers Bangalore,1865,1601,106,637,616,69,2,186,59,27,58,17,2053,1569,66,594,564,73,3,216,75,12,39,9
2009,Chennai Super Kings,1944,1531,76,548,598,97,4,181,69,10,46,11,1781,1480,87,567,556,108,4,153,63,24,48,7
2009,Deccan Chargers,2000,1602,91,603,576,134,8,147,89,25,50,12,1992,1664,93,646,622,118,7,170,70,17,57,11
2009,Delhi Capitals,1878,1532,67,556,586,140,9,174,46,17,44,2,1859,1611,102,642,583,121,6,156,63,21,59,15
2009,Kings XI Punjab,1768,1608,87,637,618,107,3,140,61,17,53,14,1786,1491,76,624,481,130,8,162,60,18,49,5
2009,Kolkata Knight Riders,1664,1463,72,604,529,107,8,136,55,16,46,6,1830,1491,59,561,558,112,8,162,60,6,42,10
2009,Mumbai Indians,1766,1537,82,588,587,118,9,145,54,20,47,11,1653,1494,81,584,586,95,5,139,51,22,44,9
2009,Rajasthan Royals,1592,1485,93,645,521,89,10,146,45,19,54,12,1694,1546,86,643,551,116,8,146,48,24,45,8
2009,Royal Challengers Bangalore,1895,1628,93,664,572,140,6,166,57,23,55,6,1912,1609,77,578,650,132,11,147,61,15,51,9
2010,Chennai Super Kings,2150,1628,75,564,639,110,4,190,84,19,40,8,2108,1657,83,615,619,99,5,200,77,22,44,10
2010,Deccan Chargers,2070,1641,94,604,628,115,3,180,80,17,55,13,2117,1651,94,615,608,113,4,196,79,23,57,8
2010,Delhi Capitals,2028,1631,88,553,676,109,8,189,57,25,42,16,2053,1654,96,617,651,83,9,186,75,24,50,15
2010,Kings XI Punjab,2155,1653,80,572,643,103,8,232,57,20,46,9,2212,1625,74,537,647,110,7,223,71,16,40,10
2010,Kolkata Knight Riders,1978,1634,71,628,617,82,6,199,63,20,38,6,2094,1605,73,523,658,118,3,218,52,24,38,5
2010,Mumbai Indians,2248,1662,88,545,640,132,7,232,63,27,47,5,1955,1611,87,545,673,118,2,186,49,28,39,13
2010,Rajasthan Royals,2072,1608,94,606,593,102,7,201,74,16,50,21,2106,1552,80,525,599,104,4,212,72,15,48,13
2010,Royal Challengers Bangalore,2050,1562,76,532,631,99,3,192,72,24,42,8,2106,1664,79,627,612,107,12,194,75,16,44,12
2011,Chennai Super Kings,2096,1651,65,560,689,123,4,183,68,15,39,5,1877,1570,79,589,612,107,9,172,55,14,46,8
2011,Deccan Chargers,2039,1676,87,563,726,103,10,194,47,27,48,7,1918,1616,84,680,533,107,2,191,66,25,50,4
2011,Delhi Capitals,1891,1535,92,625,525,92,5,181,73,22,57,9,1954,1492,67,554,550,74,5,202,69,17,44,6
2011,Kings XI Punjab,2080,1647,88,648,571,82,5,216,74,17,58,9,2041,1545,81,579,554,88,10,218,67,22,50,3
2011,Kochi Tuskers Kerala,1758,1510,86,595,570,85,6,170,51,27,44,11,1876,1555,74,626,550,101,2,180,65,24,35,12
2011,Kolkata Knight Riders,1764,1496,64,558,599,91,5,174,42,13,35,12,1812,1595,82,595,658,87,4,168,47,26,40,11
2011,Mumbai Indians,1861,1609,68,615,617,88,2,190,50,16,41,4,1817,1591,92,628,607,77,4,187,48,26,47,11
2011,Pune Warriors,1674,1469,83,643,486,101,2,153,60,17,52,7,1758,1525,73,588,593,105,3,149,56,14,50,4
2011,Rajasthan Royals,1601,1414,68,579,505,104,5,153,42,22,31,6,1705,1412,62,530,537,103,2,163,47,13,34,7
2011,Royal Challengers Bangalore,1852,1403,63,535,501,71,1,188,74,17,40,2,1858,1509,70,552,595,91,4,172,61,12,49,6
2012,Chennai Super Kings,2136,1760,88,650,688,142,11,162,79,12,57,12,2031,1697,84,623,693,93,6,186,64,18,52,10
2012,Deccan Chargers,2202,1767,89,612,742,106,9,187,76,16,58,8,2291,1749,83,631,665,132,9,186,95,25,48,5
2012,Delhi Capitals,2247,1703,76,613,647,104,7,209,87,11,55,8,2259,1832,92,696,699,100,6,234,65,23,53,14
2012,Kings XI Punjab,2286,1881,102,697,713,144,3,225,61,23,61,13,2321,1873,93,693,713,122,9,215,77,22,58,7
2012,Kolkata Knight Riders,2014,1711,85,603,714,111,5,178,57,32,42,5,1932,1742,96,654,734,108,3,153,59,23,54,12
2012,Mumbai Indians,2195,1866,98,729,719,95,3,205,75,24,56,10,2207,1863,101,720,733,114,7,183,79,30,54,10
2012,Pune Warriors,2183,1910,104,679,805,134,4,178,59,35,45,13,2310,1860,79,650,783,108,4,197,82,18,47,10
2012,Rajasthan Royals,2393,1894,84,694,732,119,6,246,68,19,53,6,2251,1856,92,665,729,130,10,202,68,28,51,4
2012,Royal Challengers Bangalore,2351,1777,83,662,687,92,8,184,116,30,47,5,2405,1797,89,607,698,140,2,218,89,15,57,8
2013,Chennai Super Kings,2364,1795,80,600,701,168,10,216,71,21,48,7,2199,1815,104,708,665,122,8,196,80,21,65,11
2013,Delhi Capitals,2103,1869,110,759,689,125,4,209,51,27,71,6,2330,1840,76,678,686,129,9,235,69,12,45,10
2013,Kings XI Punjab,2312,1824,104,666,668,128,6,244,65,27,61,10,2297,1872,82,730,682,111,3,227,77,31,43,5
2013,Kolkata Knight Riders,2134,1866,102,767,655,102,13,222,57,25,58,12,2219,1876,97,691,769,108,7,193,72,32,48,9
2013,Mumbai Indians,2404,1894,89,717,726,108,3,209,99,27,43,11,2208,1852,107,742,661,109,8,224,67,30,65,6
2013,Pune Warriors,2183,1896,111,777,701,116,11,188,76,29,66,11,2403,1865,83,662,742,125,8,230,76,21,56,4
2013,Rajasthan Royals,2289,1863,82,690,709,117,11,233,63,24,50,4,2170,1859,99,718,664,159,7,211,52,25,57,12
2013,Royal Challengers Bangalore,2430,1806,78,696,614,127,5,228,101,19,48,5,2342,1817,103,651,685,135,11,227,72,26,63,9
2013,Sunrisers Hyderabad,2052,1853,100,708,745,129,6,185,48,27,57,10,2103,1870,105,800,654,122,8,191,66,28,60,10
2014,Chennai Super Kings,2166,1632,60,552,644,128,3,173,94,12,38,6,2081,1613,84,600,591,113,9,183,84,29,46,7
2014,Delhi Capitals,1978,1633,86,589,669,96,7,177,63,21,55,6,2043,1503,60,511,576,107,6,176,86,16,33,8
2014,Kings XI Punjab,2288,1611,77,568,546,128,5,222,95,23,42,7,2116,1632,91,613,587,129,8,189,78,28,55,5
2014,Kolkata Knight Riders,2022,1574,72,533,627,127,5,189,58,25,38,6,2000,1659,83,629,606,133,7,187,58,29,35,11
2014,Mumbai Indians,2064,1626,82,602,602,121,8,183,77,19,48,10,2054,1641,70,617,601,128,4,179,78,20,38,6
2014,Rajasthan Royals,2059,1617,88,624,565,135,14,165,85,19,51,9,2035,1608,84,544,643,118,7,169,76,18,52,9
2014,Royal Challengers Bangalore,1992,1613,82,664,548,106,5,164,91,33,43,5,2027,1608,73,577,625,117,5,172,74,13,51,6
2014,Sunrisers Hyderabad,1943,1578,74,566,615,106,5,166,71,17,44,10,2156,1620,76,607,587,102,6,184,100,16,49,7
2015,Chennai Super Kings,2123,1641,79,642,562,102,8,212,80,23,44,9,1996,1643,94,619,641,113,6,174,67,15,68,7
2015,Delhi Capitals,2061,1612,76,601,618,88,3,188,84,17,47,5,1878,1496,74,558,560,115,6,161,71,20,48,2
2015,Kings XI Punjab,1889,1582,103,603,605,105,8,144,79,22,66,9,2171,1549,70,548,560,98,8,210,91,18,43,5
2015,Kolkata Knight Riders,1939,1417,78,486,545,85,3,206,64,13,56,9,1964,1492,79,549,576,67,4,174,90,19,44,9
2015,Mumbai Indians,2237,1636,76,615,575,104,5,214,96,13,54,3,2262,1646,77,569,624,121,7,222,80,11,54,8
2015,Rajasthan Royals,1932,1425,69,464,564,126,6,175,64,18,43,4,1884,1417,63,540,477,110,9,181,72,13,41,6
2015,Royal Challengers Bangalore,1706,1151,60,403,414,69,3,155,87,15,35,7,1831,1322,86,461,509,74,2,173,77,23,48,9
2015,Sunrisers Hyderabad,2117,1610,81,563,635,120,8,184,77,19,49,7,2018,1509,79,533,571,101,2,183,83,21,48,7
2016,Delhi Capitals,1995,1590,77,561,632,122,2,178,65,17,49,8,2001,1566,77,540,627,113,7,191,59,20,38,14
2016,Gujarat Lions,2014,1579,85,552,614,119,5,207,52,23,47,7,2205,1626,69,541,630,150,5,196,78,14,45,5
2016,Kings XI Punjab,2051,1617,91,544,644,152,5,190,54,28,50,10,2133,1565,73,514,621,119,6,206,69,15,43,10
2016,Kolkata Knight Riders,2002,1511,68,466,664,104,4,186,62,17,36,9,2043,1576,86,586,578,115,6,178,83,25,44,12
2016,Mumbai Indians,2091,1613,84,625,597,85,6,184,93,17,59,6,2088,1597,68,536,636,128,7,180,75,16,42,6
2016,Rising Pune Supergiant,1962,1521,68,521,610,118,7,171,68,11,39,9,2005,1555,76,539,635,109,4,171,75,21,45,6
2016,Royal Challengers Bangalore,2529,1628,58,471,669,124,4,214,121,11,39,6,2213,1603,82,513,669,103,4,208,79,12,54,7
2016,Sunrisers Hyderabad,2038,1613,76,576,618,135,8,179,65,12,48,11,1994,1584,76,547,652,122,2,179,62,13,56,6
2017,Delhi Capitals,2131,1603,97,581,607,90,4,202,87,27,53,9,2137,1561,79,502,644,100,5,194,82,20,44,11
