season,team,runs_scored,deliveries_faced,wickets_lost,dots,singles,doubles,threes,fours,sixers,bowled_out,catch_out,run_outs,runs_allowed,deliveries_bowled,wickets_taken,dots_allowed,singles_allowed,doubles_allowed,threes_allowed,fours_allowed,sixers_allowed,bowl_out_taken,catch_taken,run_outs_taken
2008,Chennai Super Kings,268,209,6,74,84,15,0,22,11,0,6,0,258,240,15,105,79,18,2,23,7,4,8,3
2008,Delhi Capitals,80,97,10,49,34,2,0,9,1,1,8,1,188,120,9,46,36,8,0,19,10,1,5,1
2008,Kings XI Punjab,108,120,8,62,35,7,1,11,2,2,5,1,112,89,1,37,34,1,0,13,4,0,1,0
2008,Rajasthan Royals,338,240,16,89,80,19,1,31,15,3,8,3,236,217,15,86,84,16,0,18,8,1,13,1
2009,Chennai Super Kings,140,120,5,40,53,8,1,11,4,1,4,0,144,113,4,46,35,10,0,16,3,3,1,0
2009,Deccan Chargers,283,226,10,88,81,23,0,22,10,4,5,0,270,240,17,99,82,17,2,23,9,4,9,2
2009,Delhi Capitals,143,120,8,46,45,10,0,13,4,2,4,2,148,106,4,41,40,6,0,13,6,1,2,0
2009,Royal Challengers Bangalore,271,233,13,99,72,17,2,26,8,5,6,0,275,240,11,87,94,25,1,20,8,4,7,0
2010,Chennai Super Kings,283,240,12,88,91,13,2,22,12,1,9,2,230,236,19,112,77,12,1,21,7,4,11,3
2010,Deccan Chargers,174,227,20,132,61,9,1,17,4,8,11,0,209,203,8,81,78,6,1,20,6,1,5,1
2010,Mumbai Indians,305,240,14,88,89,19,0,26,12,1,9,4,296,240,14,87,93,19,2,23,11,3,8,2
2010,Royal Challengers Bangalore,222,203,10,80,80,12,1,21,5,3,4,1,249,231,15,108,73,16,0,22,9,5,9,1
2011,Chennai Super Kings,365,238,9,75,88,24,2,21,23,3,6,0,302,240,12,82,91,23,1,24,11,5,5,0
2011,Kolkata Knight Riders,141,120,7,45,47,8,0,15,3,3,3,1,144,116,6,47,37,7,1,18,3,1,4,1
2011,Mumbai Indians,282,236,14,94,84,13,2,31,7,3,9,1,312,240,11,81,104,15,0,28,10,4,6,1
2011,Royal Challengers Bangalore,473,360,16,118,148,30,1,37,18,6,8,0,503,358,17,122,135,30,3,34,27,5,11,0
2012,Chennai Super Kings,581,360,13,103,136,32,1,60,23,2,9,1,447,339,24,113,137,22,0,39,18,4,16,3
2012,Delhi Capitals,255,221,18,82,85,13,0,21,10,2,11,2,374,240,9,69,100,13,2,38,15,0,6,2
2012,Kolkata Knight Riders,342,238,9,69,105,16,1,32,12,1,7,1,313,240,11,77,95,22,0,27,11,1,8,0
2012,Mumbai Indians,138,120,9,48,44,4,0,14,5,1,7,1,182,120,5,43,38,8,0,23,6,1,4,0
2013,Chennai Super Kings,307,240,10,86,98,14,1,25,13,2,8,0,282,232,19,92,86,12,0,28,10,5,12,1
2013,Mumbai Indians,441,351,25,134,128,20,0,43,16,7,16,1,458,360,16,131,143,20,1,47,14,3,13,0
2013,Rajasthan Royals,282,236,12,102,80,12,0,34,7,4,7,0,285,239,13,95,87,13,1,26,10,2,9,2
2013,Sunrisers Hyderabad,126,120,7,53,45,5,1,11,4,0,5,2,131,116,6,57,35,6,0,12,6,3,2,0
2014,Chennai Super Kings,353,232,10,72,90,12,1,31,18,1,5,2,386,240,14,74,95,9,3,33,22,3,10,1
2014,Kings XI Punjab,536,360,18,125,125,28,1,40,32,4,10,2,536,357,22,118,135,19,0,48,27,3,14,4
2014,Kolkata Knight Riders,350,237,15,81,89,13,0,32,17,2,11,2,321,240,12,92,79,22,0,21,19,3,6,1
2014,Mumbai Indians,171,120,8,41,49,3,2,14,9,2,6,0,167,112,3,35,44,6,1,15,8,0,2,0
2015,Chennai Super Kings,441,353,25,122,150,22,2,36,16,6,15,2,506,360,19,136,126,27,0,38,29,2,14,2
2015,Mumbai Indians,374,240,11,82,88,17,0,27,24,1,9,1,308,234,18,83,95,13,0,27,13,4,11,1
2015,Rajasthan Royals,106,114,10,51,42,10,0,11,0,1,7,1,168,120,4,43,40,10,0,15,8,1,1,1
2015,Royal Challengers Bangalore,300,240,12,97,78,20,0,26,13,2,6,2,239,233,17,90,97,19,2,20,3,3,11,2
2016,Gujarat Lions,304,240,17,96,91,4,1,34,11,6,9,2,304,226,12,82,86,11,1,27,14,4,7,1
2016,Kolkata Knight Riders,131,120,8,38,54,11,0,8,3,1,6,1,156,120,8,45,46,6,0,14,7,3,2,1
2016,Royal Challengers Bangalore,334,230,13,76,86,14,1,24,20,5,6,2,341,240,17,83,97,4,0,32,18,3,12,2
2016,Sunrisers Hyderabad,511,356,21,123,137,17,0,49,24,4,12,3,479,360,22,123,139,25,1,42,19,6,12,4
2017,Kolkata Knight Riders,144,145,13,65,53,6,1,10,6,3,8,1,224,207,11,84,82,9,0,22,6,3,7,0
2017,Mumbai Indians,357,327,21,131,133,17,0,28,13,4,13,3,374,353,20,142,141,21,3,25,13,6,11,2
2017,Rising Pune Supergiant,274,240,10,87,102,17,2,17,10,3,5,2,254,240,17,98,100,11,0,15,12,2,11,3
2017,Sunrisers Hyderabad,121,120,7,51,49,3,0,9,5,1,5,0,44,32,3,10,14,2,0,2,3,0,2,1
2018,Chennai Super Kings,310,226,10,85,83,8,0,29,15,3,4,1,300,240,13,92,98,10,1,25,13,2,5,2
2018,Kolkata Knight Riders,316,240,16,91,92,11,0,28,15,4,8,1,312,240,11,83,102,15,0,27,12,1,5,2
2018,Rajasthan Royals,143,120,4,45,49,10,0,11,5,0,2,0,159,120,7,46,45,7,0,13,8,0,4,0
2018,Sunrisers Hyderabad,469,360,20,130,151,15,1,41,20,3,8,4,467,346,19,130,130,12,0,44,22,7,8,2
2019,Chennai Super Kings,405,354,15,147,132,19,0,35,15,3,7,2,409,351,21,142,134,21,0,37,14,7,11,1
2019,Delhi Capitals,298,239,17,96,89,11,0,27,13,4,11,0,292,234,12,87,96,10,0,26,11,2,9,1
2019,Mumbai Indians,270,231,12,97,84,15,0,24,10,4,5,1,265,240,11,104,86,15,0,21,10,2,4,2
2019,Sunrisers Hyderabad,152,120,8,44,50,6,0,12,6,1,6,1,159,119,8,51,39,5,0,14,9,1,5,0
2020,Delhi Capitals,470,360,18,121,152,25,0,43,15,6,11,1,515,352,18,112,151,16,0,41,28,4,13,1
2020,Mumbai Indians,349,232,10,73,97,11,0,29,19,2,7,1,289,240,15,97,91,13,0,28,10,4,10,1
2020,Royal Challengers Bangalore,127,120,7,40,58,11,0,10,1,1,5,1,122,118,4,49,46,7,0,11,3,0,4,0
